regex,group,category,comments
error.* username.*password|password.*login failed.*unauthorized|unauthorized.*authentication required|token provided is invalid or expired,unauthorized_access,container_platform_auth_failure,container push issue credentials must be set
fatal: unable to access .*git.* error. 403,unauthorized_access,repository_access_denied, https://stackoverflow.com/questions/40006690/gitlab-runner-the-requested-url-returned-error-403 could be due to not being member of the project
Error.* cannot patch.* with kind Secret.* is invalid|Error.* is forbidden. User.* cannot list resource .* in API group .* in the namespace,infrastructure_issues,helm_resource_error, could also be ci_infrastructure_issues

pod status is failed|pod .* status is .?failed.?,infrastructure_issues,runner_pod_failure,
ERROR.*Job failed.*pods .* not found,infrastructure_issues,runner_pod_not_found
system failure.*unable to upgrade connection.*,infrastructure_issues,runner_instance_error, could be unauthorized or other errors
Unable to continue with .* in namespace .* exists|UPGRADE FAILED.*field is immutable,infrastructure_issues,helm_resource_error, TO BE REVIEWED: https://stackoverflow.com/questions/62964532/helm-not-creating-the-resources
Job failed.*image pull failed,infrastructure_issues,runner_image_pull_failure,https://stackoverflow.com/questions/69611221/gitlab-job-failed-image-pull-failed by Bruce Lau

exit code 8|curl.*22.*the requested URL returned error.*404|curl.*tar.*\n.*This does not look like a tar archive|proxy_existence_code=404,remote_resource_errors,http_resource_not_found,
jq.*has no keys|error.*gcloud.*Could not read json file|.*is not a valid JSON Schema|Swagger.* validation failed|error.* failed to parse|parse error.*|JSONError.*\n.*Unexpected token,remote_resource_errors,external_file_invalid_format,
api(.|\n)*(FAILURE_STATUS_CODE|APP_EXISTENCE_CODE.*404)|deployment api is failed|undeploy file failed|Product creation pipeline failed|zip file validate API is failed|api(.|\n)*exit (status|code) 3|curl.*22.*the requested URL returned error.*409,remote_resource_errors,api_gateway_deployment_error,
failed to get destination image.*no such image|error.* initializing source .* reading manifest .* unknown|error.*no such image|error.*image not known|invalid.*flag.*no such image,remote_resource_errors,image_not_found, TBD
500.*internal server error.*registry.*|failed to read from destination repository.*internal server error|error.* pushing.* invalid status code from registry|received unexpected HTTP status. 500,remote_resource_errors,container_registry_server_error,https://access.redhat.com/solutions/6339661 | https://gitlab.com/gitlab-org/gitlab/-/issues/404326 | do a retry
ERROR.*504 Gateway Time-out|expected response .* but got 503,remote_resource_errors,service_unavailable

system failure.*cannot connect to the docker daemon,container_issues,docker_daemon_connection_failure, either start docker daemon on current host or client is attempting to connect daemon on a different host which is unreachable.
Unable to open root: Permission denied,container_issues,image_build_permission_denied
Error in push. Cannot overwrite digest,container_issues,image_push_write_error,due to concurrent docker requests https://github.com/docker/for-linux/issues/727
Vulnerability threshold check results: FAIL,container_issues,image_security_scan_failure, only case found in sample 1 was a silent failure of twistcli  https://gitlab.tinaa.osc.tac.net/tinaa/tinaa-biz-srv/cs-app/evpn-svc-controller/-/jobs/382645
error retrieving label for image .*|error.*writing blob.*during read,container_issues,image_build_read_error,https://github.com/containers/podman/issues/7424 + could be due to VPN or proxy issues https://github.com/containers/podman/issues/12962 https://github.com/containers/podman/issues/18168
no such container|no container found for service,container_issues,container_not_found,
ERROR.*Renaming a container with the same name as its current name,container_issues,container_already_exists

ERROR.*could not install deps|Error.*No matching distribution found for .*|ERROR. unable to select packages|Failed building wheel for .*|safe thing yum can do is fail|The command.*install.*returned a non-zero code|error.* Command errored out with exit status 128.* git clone,dependency_issues,dependency_installation_failure, pip install command errored out with exit status 128
