Library,Language,Category
dynamic_bitset,Cpp,Algorithms and Data Structures
tries,Cpp,Algorithms and Data Structures
algorithm,Cpp,Algorithms and Data Structures
uni-algo,Cpp,Algorithms and Data Structures
boost.asio,Cpp,Networking and Messaging
cpp-netlib,Cpp,Networking and Messaging
zmq,Cpp,Networking and Messaging
azmq,Cpp,Networking and Messaging
thread-pool,Cpp,Scheduling and Concurrency
chrono,Cpp,Scheduling and Concurrency
concurrencpp,Cpp,Scheduling and Concurrency
time,Cpp,Scheduling and Concurrency
libressl,Cpp,Security
libgcrypt,Cpp,Security
nettle,Cpp,Security
digestpp,Cpp,Security
libonion,Cpp,Web Development
cpp-httplib,Cpp,Web Development
jwt-cpp,Cpp,Security
libfv,Cpp,Mathematics and Numerics
blaze,Cpp,Mathematics and Numerics
cnl,Cpp,Mathematics and Numerics
eigen,Cpp,Mathematics and Numerics
linalg,Cpp,Mathematics and Numerics
clickhouse,Cpp,Database Management
leveldb,Cpp,Database Management
libpqxx,Cpp,Database Management
sqlite,Cpp,Database Management
filesystem,Cpp,File Handling
llfio,Cpp,File Handling
glob,Cpp,File Handling
tinydir,Cpp,File Handling
spdlog,Cpp,Logging and Monitoring
boost.log,Cpp,Logging and Monitoring
glog,Cpp,Logging and Monitoring
reckless,Cpp,Algorithms and Data Structures
clang-tidy,Cpp,Code Analysis and Linting
clangd,Cpp,Code Analysis and Linting
cquery,Cpp,Code Analysis and Linting
cppcheck,Cpp,Code Analysis and Linting
boost.test,Cpp,Testing
benchmark,Cpp,Testing
cpputest,Cpp,Testing
ctest,Cpp,Testing
dlib,Cpp,Algorithms and Data Structures
blitz,Cpp,Algorithms and Data Structures
armadillo,Cpp,Algorithms and Data Structures
oneapi/dal,Cpp,Database Management
frozen,Cpp,Data Serialization
glaze,Cpp,Data Serialization
cppcodec,Cpp,Data Serialization
boost.serialization,Cpp,Data Serialization
infra,Cpp,Networking and Messaging
workflow,Cpp,Scheduling and Concurrency
taskflow,Cpp,Scheduling and Concurrency
libthrift,Cpp,Networking and Messaging
cegui,Cpp,Graphical User Interface Design
wxwidgets,Cpp,Graphical User Interface Design
gtk,Cpp,Graphical User Interface Design
nanogui,Cpp,Graphical User Interface Design
com.leansoft.bigqueue,Java,Algorithms and Data Structures
com.liveramp.hyperminhash,Java,Algorithms and Data Structures
org.pcollections,Java,Algorithms and Data Structures
org.ojalgo,Java,Algorithms and Data Structures
com.cisco.commons.networking,Java,Networking and Messaging
io.netty,Java,Networking and Messaging
org.apache.kafka,Java,Networking and Messaging
com.rabbitmq,Java,Networking and Messaging
net.time4j,Java,Scheduling and Concurrency
org.jobrunr:jobrunr,Java,Scheduling and Concurrency
org.quartz,Java,Scheduling and Concurrency
org.knowm.sundial,Java,Scheduling and Concurrency
org.apache.shiro,Java,Security
org.bouncycastle,Java,Security
jdk.crypto.cryptoki,Java,Security
jdk.security,Java,Security
java.net.http,Java,Web Development
java.net.*,Java,Web Development
java.net.InetAddress,Java,Web Development
java.net.URI,Java,Web Development
java.net.MalformedURLException,Java,Web Development
java.net.InetSocketAddress,Java,Web Development
java.net.Socket,Java,Web Development
java.net.InetSocketAddress,Java,Web Development
java.net.URISyntaxException,Java,Web Development
java.net.ServerSocket,Java,Web Development
java.net.URLClassLoader,Java,Web Development
java.net.HttpURLConnection,Java,Web Development
jdk.httpserver,Java,Web Development
io.activej.codegen,Java,Code Analysis and Linting
ninja,Java,Code Analysis and Linting
org.apache.commons.math4,Java,Mathematics and Numerics
org.apache.commons.numbers,Java,Mathematics and Numerics
org.apache.commons.rng,Java,Mathematics and Numerics
com.mathLibrary,Java,Mathematics and Numerics
ch.vorburger.mariaDB4j,Java,Database Management
java.sql,Java,Database Management
redis.clients.jedis,Java,Database Management
org.jooq,Java,Database Management
com.google.jimfs,Java,File Handling
java.io,Java,File Handling
java.nio.file,Java,File Handling
org.apache.commons.vfs2,Java,File Handling
java.logging,Java,Logging and Monitoring
jdk.jconsole,Java,IT Automation
java.util.logging,Java,Logging and Monitoring
org.slf4j.Logger,Java,Logging and Monitoring
org.sonar,Java,Code Analysis and Linting
fr.inria.gforge.spoon,Java,Code Analysis and Linting
com.puppycrawl.tools.checkstyle,Java,Code Analysis and Linting
net.sourceforge.pmd,Java,Code Analysis and Linting
org.junit,Java,Testing
com.intuit.karate,Java,Testing
org.mockito,Java,Testing
org.apache.jmeter,Java,Testing
org.influxdb,Java,Data Analysis
org.apache.spark,Java,Data Analysis
org.apache.flink,Java,Data Analysis
weka,Java,Data Analysis
com.cedarsoftware:json-io,Java,Data Serialization
com.google.flatbuffers,Java,Data Serialization
org.msgpack,Java,Data Serialization
com.esotericsoftware.kryo,Java,Data Serialization
jenkins.model.Jenkins,Java,IT Automation
org.apache.maven,Java,IT Automation
org.gradle,Java,IT Automation
com.microsoft.terraform,Java,IT Automation
java.desktop,Java,Graphical User Interface Design
java.awt,Java,Graphical User Interface Design
org.openjfx,Java,Graphical User Interface Design
org.eclipse.swt,Java,Graphical User Interface Design
java.util.List,Java,Algorithms and Data Structures
java.util.ArrayList,Java,Algorithms and Data Structures
java.util.Map,Java,Algorithms and Data Structures
java.util.Set,Java,Algorithms and Data Structures
java.util.Arrays,Java,Algorithms and Data Structures
java.util.HashMap,Java,Algorithms and Data Structures
java.util.Collections,Java,Algorithms and Data Structures
java.util.Iterator,Java,Algorithms and Data Structures
java.util.Collection,Java,Algorithms and Data Structures
java.util.Hashtable,Java,Algorithms and Data Structures
java.util.Vector,Java,Algorithms and Data Structures
java.util.LinkedList,Java,Algorithms and Data Structures
java.util.*,Java,Algorithms and Data Structures
java.io.IOException,Java,Error Handling
java.io.File,Java,File Handling
java.nio.file.Path,Java,File Handling
java.util.Properties,Java,File Handling
java.nio.file.Paths,Java,File Handling
java.nio.file.Files,Java,File Handling
java.nio.file.*,Java,File Handling
java.io.InputStream,Java,File Handling
java.io.PrintWriter,Java,File Handling
java.io.OutputStream,Java,File Handling
java.io.PrintStream,Java,File Handling
java.io.ByteArrayOutputStream,Java,File Handling
java.io.ByteArrayInputStream,Java,File Handling
java.io.FileInputStream,Java,File Handling
java.io.BufferedReader,Java,File Handling
java.io.ObjectInputStream,Java,File Handling
java.io.FileOutputStream,Java,File Handling
java.io.ObjectOutputStream,Java,File Handling
java.io.FileNotFoundException,Java,File Handling
java.io.StringWriter,Java,File Handling
java.io.UnsupportedEncodingException,Java,File Handling
java.io.StringReader,Java,File Handling
java.io.Reader,Java,File Handling
java.io.FileWriter,Java,File Handling
org.testng.annotations.Test,Java,Testing
org.junit.Test,Java,Testing
org.testng.Assert,Java,Testing
org.junit.jupiter.api.Test,Java,Testing
org.junit.BeforeClass,Java,Testing
org.junit.runner.RunWith,Java,Testing
org.junit.AfterClass,Java,Testing
org.junit.Before,Java,Testing
org.junit.After,Java,Testing
org.junit.Assert,Java,Testing
java.util.logging.Level,Java,Logging and Monitoring
java.util.logging.Logger,Java,Logging and Monitoring
java.util.logging.LogRecord,Java,Logging and Monitoring
java.io.Serializable,Java,Data Serialization
java.lang.reflect.Method,Java,Data Serialization
ngraph.graph,JavaScript,Algorithms and Data Structures
buckets,JavaScript,Algorithms and Data Structures
mori,JavaScript,Algorithms and Data Structures
graphlib,JavaScript,Algorithms and Data Structures
socket.io,JavaScript,Networking and Messaging
request,JavaScript,Web Development
amqplib,JavaScript,Networking and Messaging
mqtt,JavaScript,Networking and Messaging
fullcalendar,JavaScript,Graphical User Interface Design
later,JavaScript,Scheduling and Concurrency
date-fns,JavaScript,Mathematics and Numerics
Moment,JavaScript,Mathematics and Numerics
helmet,JavaScript,Security
bcrypt,JavaScript,Security
js-xss,JavaScript,Security
xss-filters,JavaScript,Security
vue,JavaScript,Graphical User Interface Design
react,JavaScript,Graphical User Interface Design
express,JavaScript,Web Development
angular,JavaScript,Graphical User Interface Design
Polynomial,JavaScript,Mathematics and Numerics
Numeral-js,JavaScript,Mathematics and Numerics
accounting,JavaScript,Mathematics and Numerics
odometer,JavaScript,Mathematics and Numerics
datavore,JavaScript,Data Analysis
DB,JavaScript,Database Management
sql,JavaScript,Database Management
NeDB,JavaScript,Database Management
jStorage,JavaScript,Database Management
store,JavaScript,Database Management
cross-storage,JavaScript,File Handling
localForage,JavaScript,File Handling
console.log-wrapper,JavaScript,Logging and Monitoring
storybook,JavaScript,Graphical User Interface Design
minilog,JavaScript,Logging and Monitoring
loglevel,JavaScript,Logging and Monitoring
eslint,JavaScript,Code Analysis and Linting
jshint,JavaScript,Code Analysis and Linting
tslint,JavaScript,Code Analysis and Linting
sonarqube,JavaScript,Code Analysis and Linting
jest,JavaScript,Testing
Cypress,JavaScript,Testing
jasmine,JavaScript,Testing
qunit,JavaScript,Testing
fabric,JavaScript,Web Development
d3,JavaScript,Graphical User Interface Design
three,JavaScript,Graphical User Interface Design
sigma,JavaScript,Graphical User Interface Design
tempo,JavaScript,Graphical User Interface Design
jsfmt,JavaScript,Data Serialization
fecha,JavaScript,Data Serialization
protobufjs,JavaScript,Data Serialization
shelljs,JavaScript,IT Automation
forever,JavaScript,Scheduling and Concurrency
node-cron,JavaScript,Scheduling and Concurrency
jenkins,JavaScript,IT Automation
react,JavaScript,Web Development
vue,JavaScript,Web Development
electron,JavaScript,Web Development
angular,JavaScript,Web Development
