regex,group,category,comments
password.*login failed.*unauthorized,unauthorized_access,ocp_auth_failed,
unauthorized.*authentication required,unauthorized_access,ocp_auth_required, container push issue credentials must be set
token provided is invalid or expired,unauthorized_access,ocp_invalid_token,
error.* username.*password,unauthorized_access,podman_login_invalid,
x509.*certificate.*unknown authority|SSLCertVerificationError|ssl.*certificate verify failed,unauthorized_access,certificate_verif_failed, just retry
fatal: unable to access .*git.* error. 403,unauthorized_access,repo_access_denied, https://stackoverflow.com/questions/40006690/gitlab-runner-the-requested-url-returned-error-403 could be due to not being member of the project
requests.exceptions.JSONDecodeError. Expecting value,unauthorized_access,jwt_decode_error,flaky test https://stackoverflow.com/questions/46433492/sporadic-jsondecodeerror-during-api-request
Error.* is forbidden. User.* cannot list resource .* in API group .* in the namespace,unauthorized_access,helm_restricted_user_permissions, could also be ci_infrastructure_issues
timed out waiting for pod,limits_exceeded,pod_waiting_timeout,
wait time.*exceeded,limits_exceeded,pipeline_completion_timeout,
error.*gcloud\.auth.* refreshing .* current auth tokens|ERROR.*gcloud.*Max retries exceeded with url.*token,limits_exceeded,cloud_token_limit_exceeded,https://stackoverflow.com/questions/75455856/error-gcloud-auth-activate-service-account-there-was-a-problem-refreshing-you
TLS handshake timeout,limits_exceeded,tls_handshake_timeout
pod status is failed|pod .* status is .?failed.?,infrastructure_issues,runner_pod_failed,
system failure.*unable to upgrade connection.*,infrastructure_issues,runner_instance_error, could be unauthorized or other errors
exit code 8|curl.*22.*the requested URL returned error.*404|curl.*tar.*\n.*This does not look like a tar archive,remote_resource_errors,http_res_not_found,
curl.*22.*the requested URL returned error.*409,remote_resource_errors,http_conflict_error,apigee https://www.googlecloudcommunity.com/gc/Apigee/Intermittent-409-CONFLICT-for-ApigeeX-management-apis/m-p/174222
jq.*has no keys|error.*gcloud.*Could not read json file|.*is not a valid JSON Schema|Swagger.* validation failed|error.* failed to parse|parse error.*|JSONError.*\n.*Unexpected token,remote_resource_errors,invalid_file_format,
system failure.*cannot connect to the docker daemon,container_issues,unable_connect_docker_daemon, either start docker daemon on current host or client is attempting to connect daemon on a different host which is unreachable.
wget: missing URL|.* error.* expected one argument|required env var .* is not set,environment_variables,missing_env_variable,
env.*valueFrom: Invalid value: "",environment_variables,misconfig_env_variable,https://github.com/kubernetes/kubernetes/issues/46861
Initiating pull.*\$,environment_variables,misconfig_env_variable,(error.*invalid reference format) https://gitlab.tinaa.osc.tac.net/tinaa-platform/deployment/production-push-pipeline/-/jobs/141601 docker pull failed with invalid ref format
